#{"t_start": 1583618750.5840251, "env_id": "Hopper-v2"}
r,l,t
28.728692,23,0.789341
5.929955,22,0.863458
19.262061,25,0.940135
8.56337,11,0.974039
9.421265,15,1.035126
5.14986,9,1.066868
7.204133,13,1.102447
7.084847,10,1.127033
35.308554,29,2.086785
22.642407,23,2.169902
5.447374,17,2.220869
17.23739,37,2.317355
46.037818,35,3.093623
22.093229,20,3.15043
43.715584,38,3.250852
25.487067,23,3.332495
80.076324,76,4.212398
67.852472,40,4.321456
107.54679,57,5.16081
131.286098,72,5.338583
121.107361,66,6.171697
176.432203,87,6.405115
115.256864,64,7.213015
112.606896,60,7.344587
212.472816,94,8.233917
103.538543,56,8.392891
166.236472,78,9.270088
211.69734,92,10.122676
156.514732,77,10.309527
191.853076,85,11.199938
187.653525,88,12.095836
199.642182,89,12.358711
205.551836,91,13.137773
207.693852,92,14.037698
211.195104,93,14.933843
216.153507,95,15.196805
202.531473,93,15.986372
202.813063,91,16.93786
213.585769,93,17.857794
242.479814,105,18.086659
212.683964,94,18.863485
224.251231,98,19.664612
233.825379,103,20.446342
249.095077,107,20.744831
240.461595,106,21.700658
277.016657,118,22.60448
284.299678,116,23.42374
279.146515,122,24.412446
257.95086,112,25.290745
313.891808,127,26.110634
281.781589,117,26.956789
322.855054,130,27.881392
295.494829,127,28.839937
327.156874,128,29.888535
307.192725,123,30.830495
360.829319,138,31.803872
329.419428,129,32.799302
355.119298,134,33.727379
288.211978,115,34.531972
350.879419,133,35.494452
340.275184,134,36.386806
347.172337,138,37.32201
353.092775,134,38.342659
366.721255,139,39.327782
393.441666,144,40.422225
380.740895,139,41.432662
366.193482,140,42.261614
401.179501,145,43.859594
388.417156,141,44.869225
386.653384,139,45.882932
388.278341,140,46.808378
410.529225,147,47.90206
407.820985,144,48.873296
410.018563,144,49.832773
397.408581,144,50.818263
398.895643,141,52.382647
409.707822,145,53.458023
413.4849,146,54.48215
420.955735,149,55.493763
402.064713,141,56.438976
395.193462,138,57.370057
441.858065,155,58.311875
430.689975,154,59.903514
424.181397,147,60.814019
435.652492,151,61.852404
419.715834,145,62.85956
416.472767,146,63.775935
451.817244,156,64.838192
485.940124,170,66.424733
654.086205,209,67.581493
518.577928,184,69.333423
628.605771,209,70.576284
641.716802,203,72.380111
663.270447,215,74.140848
639.30937,207,75.314252
606.013112,201,77.054785
674.553655,217,78.863195
649.530043,209,80.03089
626.525905,208,81.711537
784.051377,254,83.600264
792.221065,246,85.435174
797.717829,257,87.194541
864.684358,276,88.989687
960.170183,306,91.152364
839.51699,291,93.526644
914.989717,301,95.398029
918.191228,288,97.239258
933.323489,298,99.139155
1083.187768,344,101.706047
995.48446,313,104.334798
1054.348137,335,106.349266
1111.166073,350,108.951358
1275.283831,394,111.577948
1504.006763,469,115.003787
1424.49498,442,117.816605
1366.491327,416,120.431293
1083.395848,338,123.005933
1420.526195,445,126.714439
1218.905666,379,128.800487
1386.533113,439,132.253518
1574.500381,476,135.850821
3270.498169,1000,142.369521
1690.29648,514,145.901037
1903.711661,583,150.2718
3253.702672,1000,157.320518
3105.717709,939,163.849188
2549.821819,781,169.44676
1640.555109,504,173.066003
1940.955237,581,177.69968
1576.798842,478,180.818765
1932.007031,585,185.088125
3155.450456,1000,192.469481
2606.837962,806,197.999061
1434.782247,438,201.482901
2983.765117,895,207.789478
1370.300032,420,210.679338
2012.338277,608,215.201801
1936.403509,571,219.218599
1859.635669,549,222.899992
1621.6429,478,226.498646
1482.09219,444,230.039885
2572.847986,748,234.83079
1873.075387,539,239.097932
2354.052603,699,243.763315
2535.324373,741,249.225055
1811.803933,546,252.971163
1498.821225,451,256.540451
1838.698528,548,260.11737
1582.303352,470,263.497411
1603.020624,473,266.53005
2493.473493,740,272.134543
3303.445296,1000,279.349432
2117.626176,643,283.946466
2094.427445,598,289.236235
1620.343639,475,292.665777
1486.380668,444,296.109599
1884.167798,553,300.142361
1333.3608,390,303.181468
1125.822236,330,306.090147
2182.180064,625,311.014686
2163.769272,647,316.260899
1968.899808,569,320.620557
3327.260279,1000,328.834317
1190.155732,389,331.710694
1551.114065,450,334.843963
3374.949139,1000,343.066857
1158.594058,339,345.756092
1819.130509,527,349.504715
1224.340142,365,352.233696
3334.35561,1000,359.799356
2242.307975,642,364.838728
3328.257342,1000,372.638555
3285.722896,1000,380.077845
1145.007831,334,383.141258
1209.01576,355,386.091804
3064.912767,922,392.678589
3235.172355,1000,400.258149
3245.427544,1000,407.626696
1266.880036,383,410.466336
1063.78311,315,412.775906
949.813217,291,414.980786
956.357547,287,417.626405
949.19623,291,419.535858
2092.198231,618,424.774427
1939.812312,581,429.051695
3332.921312,1000,437.04016
1880.640936,564,441.333236
2099.364985,633,446.219131
1218.210678,377,448.776902
1229.139627,380,451.918081
1439.770981,441,455.668605
1234.653573,374,458.492789
3331.355101,1000,465.641748
1703.576962,504,469.404565
2929.08641,858,475.948041
3285.046056,1000,484.069002
3394.634661,1000,491.777321
3342.366275,1000,498.846886
2271.823077,670,504.340874
2420.771801,711,509.545539
2164.281339,634,514.751182
3302.438076,1000,522.09205
1972.845747,577,526.876744
3309.189598,1000,534.186356
3410.878151,1000,542.196356
3267.749498,1000,549.894134
3299.334773,1000,557.650944
1353.190456,408,560.634693
3404.051716,1000,568.216375
1611.107235,481,572.042924
2627.335462,777,577.978154
2004.084135,607,582.075435
1048.779801,318,584.77128
1095.18296,330,586.803942
1208.33979,368,589.71757
2074.183286,601,594.205987
1239.386398,376,597.310091
3410.404452,1000,605.129109
3328.085981,1000,612.713761
1847.237102,541,616.905115
3332.268798,1000,624.584502
3373.4623,1000,632.193863
3344.049815,1000,640.590658
3346.728592,1000,648.589564
3499.256924,1000,656.184766
3312.348462,1000,664.153694
1681.212013,513,668.227327
3432.786254,1000,675.599651
1700.156212,513,679.743371
3382.753531,1000,687.344758
3519.000211,1000,693.98466
2950.255568,839,699.894697
3409.013174,1000,707.004253
1576.40661,474,710.98839
3366.690757,1000,718.689524
2593.971463,797,724.460359
3233.420763,1000,732.2365
3340.072657,1000,739.986624
3301.147051,1000,747.789709
2664.784746,802,753.808587
3367.463799,1000,761.494816
3400.461344,1000,769.394858
3337.018886,1000,776.301263
3426.994577,1000,783.914604
3397.249643,1000,792.278506
3242.964927,1000,799.950695
3176.313198,1000,808.168879
3322.022876,1000,815.4333
1758.498804,545,819.654771
3301.900585,1000,826.957075
1297.116972,412,829.804169
1651.053687,517,833.425134
3273.830642,1000,840.286677
3307.750317,1000,847.091553
3300.568177,1000,854.150618
2085.945579,635,858.558281
3321.398184,1000,865.490447
3377.037899,1000,872.690711
3408.961909,1000,879.911424
3365.429018,1000,886.468326
2591.552453,757,891.664649
3416.410244,1000,898.573173
973.486662,298,900.424884
1623.29528,493,903.954381
2310.117386,680,909.027402
2922.401793,865,914.637289
1972.606199,575,919.020731
2691.155628,783,924.417638
3314.132262,1000,932.961258
3399.660121,1000,935.436308
2133.502924,630,937.177614
3325.328959,1000,940.334762
2544.499413,749,942.157189
3357.07436,1000,944.530321
3340.133846,1000,946.840811
2318.032959,700,948.653551
1995.117815,610,950.220703
2130.603632,637,951.785275
