#{"t_start": 1583618750.2002397, "env_id": "Hopper-v2"}
r,l,t
5.814454,8,1.122991
10.896671,12,1.163419
9.7221,12,1.206215
8.507749,14,1.252078
9.79798,12,1.289503
40.547392,32,1.393573
8.906719,11,1.441468
8.898682,11,1.46821
24.355996,27,2.410888
9.971741,14,2.457455
19.99806,32,2.568841
20.454322,27,2.641254
7.621101,9,2.662772
6.541214,10,2.691503
10.981849,27,3.446272
29.379789,24,3.514935
8.646353,13,3.549621
32.545385,30,3.628536
10.374361,16,3.687978
62.70286,43,3.813664
60.533867,37,4.581564
12.20762,25,4.649942
26.849125,25,4.72139
19.849684,32,4.817401
89.976804,53,5.626005
150.82565,74,5.812748
67.935139,40,6.580463
60.374984,36,6.68274
90.861278,52,6.81476
65.68764,40,7.559182
104.163639,55,7.684119
194.610893,90,8.549698
158.787293,77,8.769353
215.173802,97,9.695799
216.176812,94,10.553379
120.27467,64,10.712245
173.308542,81,11.598518
205.773609,91,12.49414
193.510234,89,12.756888
194.038505,86,13.521837
202.128279,90,14.415351
214.175356,94,15.312978
213.940066,93,15.571413
199.25214,89,16.353069
206.966028,92,17.298354
183.662753,85,17.590291
223.617923,97,18.415821
213.288164,95,19.196161
221.635138,98,19.995124
234.278901,100,20.235844
252.555513,109,21.060811
281.309455,117,22.058319
266.255074,111,22.939425
270.687999,115,23.762473
283.214804,121,24.745626
287.737498,118,25.639262
291.539969,119,26.451113
287.814688,127,27.31107
312.538522,129,28.232571
307.283687,126,29.186294
321.827136,129,30.232322
336.764138,135,31.209884
332.617101,131,32.164845
343.51024,138,33.187118
345.812941,134,34.115674
315.635933,128,34.956728
321.707794,126,35.896279
342.051916,135,36.797316
353.494191,133,37.714889
359.01886,137,38.744083
368.602122,140,39.734507
379.244154,139,40.811678
372.594156,140,41.826064
386.147985,141,43.232358
369.207806,139,44.23601
373.851336,137,45.234779
384.463362,140,46.249609
396.855987,148,47.20072
404.416408,144,48.285773
396.639855,141,49.248057
409.048105,145,50.20947
398.705278,145,51.193525
406.143697,144,52.773466
404.049997,143,53.841808
409.979952,144,54.860192
417.515943,147,55.866358
398.900354,144,56.819046
412.563654,145,57.774297
405.782562,144,58.681972
403.138386,143,59.681092
439.358616,153,61.169585
426.958694,150,62.208281
415.40707,146,63.215914
483.009325,165,64.193464
455.245371,157,65.256037
653.148467,210,66.955592
587.077542,194,68.607376
634.641099,201,69.858276
544.526834,180,71.594392
630.860827,200,72.826807
627.422203,203,74.546423
657.390935,211,75.727292
648.202738,209,77.493443
641.587451,212,79.279963
672.340892,213,80.462397
732.331947,229,82.211189
668.05234,215,83.988248
789.603755,254,85.849247
870.860779,278,87.64729
942.241767,293,89.495104
748.96905,257,91.528903
889.66779,293,93.913892
940.381308,304,95.790765
868.296827,291,97.638496
994.028675,319,100.113877
880.970362,286,102.008583
1222.72268,379,104.827658
925.295691,301,106.738097
1057.436961,336,109.30236
1163.090943,369,111.869552
1373.598518,423,114.624242
1271.067669,387,117.305557
1537.304836,475,120.617587
1395.504898,433,123.436841
1486.113479,460,127.18296
1232.274659,381,129.813616
2485.699074,756,135.29342
2150.657959,638,139.716311
3168.299606,1000,146.269284
2498.962616,792,152.278853
2373.827632,702,156.946469
3052.639836,931,163.353999
1968.044576,617,167.923026
2291.525065,697,173.251508
2045.149614,615,177.370901
1767.418139,547,181.795791
2104.40303,629,186.215613
2634.694511,803,191.871614
3229.529651,984,199.055955
1406.619027,425,201.972567
1419.102947,432,204.732369
3355.41673,981,212.003958
1588.545803,473,215.606606
2405.87087,716,220.606367
1338.639025,400,223.294363
1276.875685,383,225.978373
1823.029371,534,230.414997
1444.387527,434,233.331303
1597.275109,469,236.725759
2003.522462,594,240.681021
2327.986868,691,245.848269
2162.381688,632,250.46341
1913.892393,566,254.315755
1912.660583,566,257.926446
1360.746061,408,261.301525
1500.774967,448,264.027217
1501.236978,449,267.575017
1715.373423,503,271.350055
2354.488523,696,276.31191
3308.661341,1000,283.387608
3255.271951,1000,291.77947
1285.514039,384,294.631983
1193.277376,357,296.724379
946.929321,293,299.496673
1593.058279,467,302.537887
1174.061023,356,305.556457
1256.28288,374,308.673652
2130.396206,636,313.617545
3345.173506,1000,321.895701
3377.212406,1000,330.037348
1558.864632,448,333.134582
1000.000291,300,335.235292
934.644034,285,338.107408
3394.630488,1000,345.31321
3356.10291,1000,352.732662
947.419693,289,355.298843
1728.064582,506,359.07135
1786.715172,531,363.117328
1663.596158,484,366.552931
2788.151845,812,373.129342
1554.624612,452,376.425052
3268.635446,1000,384.560779
1198.940653,349,387.430023
3354.960585,1000,395.143112
