#{"t_start": 1583618750.2002397, "env_id": "Hopper-v2"}
r,l,t
3254.452914,1000,401.745763
2324.503487,674,407.093824
1625.333416,476,410.240864
1430.122859,415,414.126599
1222.486809,367,417.113253
909.62606,282,419.032082
2096.071885,618,424.056104
1821.609495,529,428.213487
1653.864211,492,432.099505
2162.620582,648,437.31529
2032.789759,604,441.717113
2009.640216,604,446.527709
2341.819328,699,451.997202
1939.675599,580,456.198546
1811.841842,532,460.096573
3036.640245,890,466.809443
1233.472902,365,469.682296
2197.300468,645,474.412729
3151.504057,923,481.539218
1339.361933,396,484.657439
3292.904563,1000,492.339803
3364.209062,1000,500.048324
3386.966838,1000,507.784756
3356.815485,1000,515.955792
1201.765815,367,518.687916
3344.8891,1000,525.519263
3318.012034,1000,533.479977
3314.221501,1000,541.495457
3318.349164,1000,549.222743
3377.317593,1000,556.915875
3385.39473,1000,564.048995
3237.448326,1000,571.564154
2318.387724,693,577.233195
1426.685959,426,580.425654
2340.679167,688,585.308321
1203.986614,369,588.027061
1718.682378,514,591.745703
1194.856131,361,594.605474
2401.191823,702,600.429971
2306.68065,686,605.551498
3437.742403,1000,613.146905
2433.730085,707,618.490561
3336.581046,1000,626.225552
3403.604182,1000,634.507245
3360.879471,1000,642.733573
3315.454113,1000,650.127852
3324.551038,1000,657.785233
1739.262958,522,661.839899
3344.416938,1000,669.7546
3503.069116,977,677.80913
1595.79033,487,681.873117
1643.499675,490,685.028739
3428.6521,1000,691.707975
3360.985163,1000,698.583087
3440.505716,1000,706.140831
3363.393619,1000,713.662966
3254.259322,1000,721.223513
3270.21535,1000,728.722383
1227.151017,397,731.701731
3320.307048,1000,739.525744
3258.144096,1000,747.332848
3319.874389,1000,755.141752
3303.287128,1000,762.789444
3325.560238,1000,770.137464
3359.994161,1000,777.60755
3332.580796,1000,785.273617
3329.73836,1000,793.618781
3303.655686,1000,801.317465
1109.424552,366,804.274833
1381.474755,442,807.641233
1345.765476,435,810.833661
3316.989959,1000,818.376392
1116.366523,367,821.057963
1284.222486,402,823.888744
1555.965516,508,827.554172
1177.713196,378,830.317943
2747.026376,843,836.490746
1167.644445,374,838.982158
1328.966815,430,841.670503
1942.07483,597,846.266099
2820.16905,853,851.925541
1082.098243,352,854.50914
1494.280225,454,857.932051
2567.534651,777,863.288703
3031.094375,910,869.568799
3365.135667,1000,876.64097
3400.331588,1000,883.338944
3402.006601,1000,890.244079
1355.343239,401,892.879331
3361.75922,1000,899.863217
1968.787353,580,904.15889
3154.087363,912,910.447456
1702.750083,513,913.945512
3309.966584,1000,921.207227
2969.116858,854,926.862657
3328.165462,1000,933.345179
2577.228205,752,935.203242
2772.46933,833,937.432608
3357.788041,1000,940.718419
3394.708803,1000,943.191552
3387.052022,1000,945.497363
3345.954784,1000,947.901485
3333.575239,1000,950.39722
3279.646448,978,952.884732
