#{"t_start": 1583618750.133386, "env_id": "Hopper-v2"}
r,l,t
11.143232,24,1.245609
15.194101,19,1.307374
134.569298,92,2.466933
9.88873,34,2.583673
13.296909,16,2.635792
78.214378,47,2.761237
20.924507,21,2.815151
70.394497,42,3.616943
24.702409,22,3.67419
12.620682,15,3.719908
36.966391,28,3.814962
15.654262,15,3.857365
43.617377,62,4.693927
29.399852,22,4.754876
35.827524,26,4.825593
57.602664,35,5.601571
85.954102,50,5.725426
60.602493,38,5.825352
81.046564,53,6.622542
78.113276,48,6.759598
103.585868,59,6.908437
216.930216,95,7.777071
227.585136,106,8.695157
110.812421,66,9.545679
200.995435,88,9.7794
202.87355,95,10.637766
190.27149,96,11.542706
187.215963,90,11.825815
204.725475,91,12.705687
204.876938,92,13.496512
208.807659,93,14.400532
207.499667,92,14.639852
200.844003,89,15.532734
203.429428,90,16.326378
174.655701,86,16.542682
218.387882,95,17.540437
214.237147,95,18.410928
215.643656,94,19.175551
221.019541,97,19.408289
241.279476,102,20.220138
282.390627,121,21.059753
224.555643,100,22.016535
251.270876,112,22.900578
280.069497,116,23.742597
279.973564,119,24.700243
254.459544,113,25.595275
283.079123,117,25.886151
268.351188,119,26.67708
290.807993,124,27.550908
295.121191,120,28.461905
290.055041,118,29.406733
336.737135,132,30.470959
343.76367,131,31.413207
318.403799,126,32.349094
356.676956,136,33.365563
348.888573,137,34.283134
342.328993,133,35.148108
325.804246,130,36.106667
360.507748,141,37.597388
376.489948,142,38.610684
366.649041,136,39.625447
359.076398,138,40.689847
381.707502,139,41.696047
386.154372,142,42.565574
365.756768,139,43.47648
391.157673,141,44.481372
388.438714,139,45.506429
384.522971,139,46.51289
387.012548,140,47.449624
380.544744,144,49.098023
413.690472,148,50.091317
396.061717,142,51.021459
413.82896,145,52.028222
434.124539,153,53.044658
392.054705,141,54.117412
405.194102,141,55.095402
420.692386,147,56.106518
421.337687,149,57.671222
386.241285,141,58.58506
445.893003,154,59.554216
422.296212,147,60.516191
426.64035,149,61.460634
421.598659,152,62.50506
430.949609,151,64.034071
461.590825,157,65.085347
431.432402,150,66.068556
464.642546,158,67.09024
517.84953,177,68.690102
559.5055,181,69.883624
651.978432,211,71.710834
669.449287,213,72.98087
553.097222,196,74.675157
