#{"t_start": 1583618750.732686, "env_id": "Hopper-v2"}
r,l,t
16.098873,17,0.619331
12.459066,29,0.718225
7.775897,11,0.75394
7.694906,19,0.809732
6.90224,9,0.839573
10.446161,13,0.89984
6.221942,10,0.926412
29.776085,27,1.867232
12.079258,16,1.918979
7.371588,9,1.953801
11.631464,13,1.997896
11.051771,14,2.042553
4.729006,8,2.066411
11.030889,19,2.114068
11.530801,15,2.153253
11.213681,18,2.201826
16.323613,20,2.938539
101.624712,63,3.112456
22.880923,21,3.188197
165.975507,78,4.073556
15.4393,22,4.136133
17.903379,21,4.192358
17.208883,25,4.265834
191.469369,111,5.225894
139.519235,72,6.080855
62.906555,37,6.185557
100.792674,57,6.965156
85.074434,48,7.089828
218.54568,95,7.943944
57.478851,35,8.042113
57.511353,35,8.140769
211.877768,92,9.06675
141.22244,83,9.892912
70.813757,42,10.004216
186.574928,86,10.873966
179.12123,87,11.140516
191.391416,86,12.010782
181.769616,90,12.80878
206.422863,92,13.041958
203.495947,91,13.945908
207.377929,91,14.843113
183.052623,87,15.082176
196.150341,88,15.855199
195.104625,87,16.800493
222.3535,106,17.744158
206.571398,90,17.941428
204.458971,91,18.708862
255.663505,108,19.535877
292.377341,117,20.346641
274.82334,114,21.349165
254.555217,113,22.225103
265.686406,107,22.520073
262.573667,118,23.344402
291.598002,123,24.347981
258.843867,109,25.194623
277.300339,115,25.988461
269.211832,115,26.835463
297.961665,123,27.745533
322.56808,126,28.700654
318.785108,129,29.751918
312.777602,130,30.714423
309.281803,124,31.647046
330.296877,132,32.650522
283.285874,115,33.530432
338.210735,132,34.375088
337.775588,131,35.334014
363.433391,140,36.246619
371.986754,144,37.196777
357.631549,139,38.229792
351.116789,136,39.212338
371.963574,139,40.294814
365.123655,138,41.299011
398.708648,145,42.715035
384.879339,141,43.724283
401.497624,143,44.740393
373.941879,136,45.746888
398.122651,141,46.673548
379.602772,141,47.746847
399.540499,142,48.714723
421.069284,147,49.68399
393.095681,143,50.660839
403.92024,145,52.24515
400.458318,141,53.304516
399.841063,140,54.309947
419.023621,147,55.314175
407.228004,143,56.269382
407.737652,146,57.224843
497.326739,167,58.192415
415.695137,146,59.766349
423.834709,148,60.680811
423.567836,148,61.713059
410.000933,145,62.718505
463.472573,159,63.684187
628.274914,203,65.417777
639.85126,203,66.557111
594.508161,196,68.199105
686.244894,218,70.169105
679.214793,218,71.333027
639.733354,203,73.2576
656.566155,209,74.94604
596.845211,197,76.052922
691.719705,220,77.872144
716.451284,228,79.70507
693.007453,223,80.863644
696.338839,225,82.641274
781.106239,250,84.479007
776.814775,248,86.359603
859.979257,276,88.066172
860.959212,279,90.006158
880.325547,281,92.494075
878.846921,280,94.274209
810.607255,278,96.166972
944.521789,303,98.021415
1172.912628,363,100.606465
1105.142706,350,103.324614
1159.481867,361,106.020948
1102.317525,343,108.026048
1284.639025,398,110.651578
1451.513275,450,114.070759
1198.148115,372,116.712779
1428.240418,437,119.403086
1299.281311,405,122.130802
1281.3409,400,125.624844
1379.303409,423,128.495992
1992.908722,598,132.89569
1264.032509,384,135.653032
3079.635354,931,141.962977
3022.847296,1000,149.014662
3197.4294,1000,155.621424
2451.411078,752,161.017755
1958.104638,612,165.590181
2200.491307,682,170.211903
1708.3001,531,174.722004
1742.540614,536,178.551452
2046.244191,611,182.926017
2624.342209,799,188.56411
3307.532416,1000,195.803573
1340.95535,408,198.616069
2936.301395,876,204.933915
1940.237795,577,208.770272
1572.496396,474,212.362607
1430.237292,434,215.278073
1850.109957,558,219.858774
1424.715179,433,222.621277
1385.445425,419,225.417869
1595.811973,475,229.074011
2001.415848,580,233.534386
1264.016304,383,235.600758
2414.22103,710,241.005248
2577.224253,754,246.41681
2069.553738,620,250.896182
1753.405839,521,254.596836
2091.94742,619,259.032985
