#{"t_start": 1583618749.6543205, "env_id": "Hopper-v2"}
r,l,t
9.088927,18,1.701572
6.585363,12,1.743093
6.184685,14,1.789469
5.926374,10,1.823675
31.195453,25,1.897132
23.167857,29,2.004133
11.455735,26,2.941413
15.002906,28,3.037989
8.03187,14,3.086497
16.24814,16,3.135579
10.331314,12,3.168844
14.611256,19,3.21475
14.196662,18,3.265854
22.466282,24,4.010816
132.075505,70,4.209507
26.277812,36,4.324808
23.312511,38,5.087487
97.172846,64,5.275026
6.833616,11,5.300623
118.257898,65,6.153527
94.064242,53,6.288244
128.532801,70,7.1315
106.697343,63,7.305561
210.849159,101,8.195311
95.676364,54,8.313455
197.861845,92,9.206442
228.717117,98,10.149516
208.858989,101,11.021703
204.680423,90,11.245467
206.665208,92,12.169221
217.108196,98,13.08089
138.042856,69,13.284456
206.793923,92,14.067406
198.192635,88,14.954457
195.834097,89,15.835804
207.746327,93,16.097834
202.306488,92,16.888469
213.343886,94,17.834288
206.958001,92,18.155583
203.115847,90,18.955746
223.728678,100,19.75128
259.607419,111,20.579522
254.17986,113,21.388379
273.882155,116,22.383746
238.931589,104,22.659833
286.773352,115,23.554784
197.587685,89,24.311811
277.129863,116,25.280429
272.170296,112,26.16187
282.832868,121,26.976767
284.570144,125,27.831344
267.189852,117,28.718216
311.603224,125,29.673381
316.536033,125,30.698251
324.56908,129,31.674222
314.989843,126,32.609617
315.437755,127,33.589038
339.515499,130,34.52866
354.258966,135,35.378034
326.539549,128,36.33245
338.40909,135,37.234798
340.334794,137,38.162239
356.15483,137,39.172
338.275794,134,40.152986
367.444533,138,41.237487
376.249072,140,42.244691
377.11978,141,43.090734
390.161986,141,44.024086
387.950442,140,45.019457
412.308492,146,46.075236
404.583841,144,47.663243
399.155506,148,48.713907
387.314429,141,49.681277
403.970249,145,50.662291
246.359488,102,51.495549
402.949455,142,52.497051
409.719079,145,53.491715
417.781012,146,54.576375
400.085003,141,55.556003
417.724745,147,56.567519
406.009599,144,58.117589
432.193062,150,59.054104
414.138728,145,59.998391
410.704409,143,60.958373
425.163644,146,61.887674
535.635695,176,62.997116
515.251016,172,64.574121
581.94869,196,65.76299
495.514762,171,67.35429
639.280772,205,68.500529
488.579478,170,70.210831
477.048341,165,71.35411
651.660453,208,73.142607
611.84292,202,74.376487
643.070343,203,76.063885
671.837244,213,77.203574
645.339802,214,79.008094
684.955806,219,80.821478
734.723649,231,82.552693
677.823752,222,83.768876
728.011685,231,85.557366
729.777795,229,87.392187
899.115098,286,89.118257
886.62906,280,91.060609
949.346666,299,93.597227
846.15692,281,95.375891
878.883536,295,97.319318
1044.203899,329,99.801071
968.643803,303,101.667679
832.146707,283,103.530556
1055.320804,329,106.232839
918.315447,301,108.151179
1040.992606,326,110.709718
1093.275836,341,112.638699
1177.885472,369,115.248604
1486.659333,460,118.669699
1351.914309,411,121.27322
1393.584119,425,124.077555
1429.443374,449,127.794171
1420.221732,438,130.579186
1497.184417,460,134.12363
1527.38555,458,137.585258
1325.055189,405,140.309634
1788.753316,539,144.045684
1221.206003,381,146.636631
3233.33986,989,153.670323
3170.423366,1000,160.344493
2422.096569,735,165.684982
2002.787829,621,170.295208
2134.000187,660,175.022238
1926.232635,580,179.596524
1533.670654,471,182.508831
2523.654355,768,188.021383
2780.713445,832,194.362856
2062.085513,635,198.816056
3100.953926,925,205.193219
1758.991746,538,208.977401
1873.812516,566,213.386254
2116.942161,633,218.040078
1366.305837,412,221.029065
1111.648551,352,223.569172
1045.744353,311,225.572659
1823.900695,536,229.255648
2488.02539,725,234.731673
