#{"t_start": 1583618751.2074535, "env_id": "Hopper-v2"}
r,l,t
8.593711,10,0.12183
13.027329,16,0.178428
23.77066,23,0.253039
10.720799,21,0.315998
5.417219,11,0.350409
5.067,8,0.382941
9.205466,16,0.44332
11.41174,14,0.482079
8.614332,24,1.417452
13.862856,15,1.468196
23.943606,19,1.536893
10.484831,12,1.573696
10.16773,12,1.608565
50.290624,35,1.699886
45.50867,34,2.473626
34.269045,30,2.55464
10.866686,13,2.588337
67.419068,44,2.731625
13.464317,15,2.775055
137.578388,72,3.6362
88.951946,57,3.803257
100.733276,54,4.615517
113.517444,62,4.773842
120.01108,62,5.602331
205.471545,91,6.477765
209.360629,107,6.732579
95.266841,62,7.527271
233.521465,103,8.49064
187.18113,93,8.736015
188.794281,86,9.572148
209.767601,92,10.464966
219.353216,95,10.765221
200.547079,89,11.63791
207.87283,93,12.431091
198.304334,92,13.333798
187.304118,85,13.553189
212.173609,93,14.454326
195.659104,88,15.239768
203.009967,90,15.472314
193.211719,87,16.441743
218.784776,96,17.323128
217.448843,95,18.088235
218.499373,96,18.320353
215.291191,95,19.116663
204.909849,91,19.86474
284.568731,116,20.867463
274.575833,114,21.750481
244.238593,106,22.041774
258.770179,116,22.860666
257.348632,115,23.834631
284.763612,123,24.726626
297.902547,125,25.54993
291.161311,123,26.412217
293.303987,121,27.323118
299.941646,121,28.26647
314.721777,129,29.318158
328.871878,130,30.281243
340.611109,133,31.232011
326.168356,130,32.228773
350.334914,136,33.157874
387.607861,144,34.038622
318.672973,129,34.994325
358.037231,137,35.898526
316.417736,131,36.802379
350.436388,137,37.85852
361.108441,139,39.521986
383.499467,141,40.549083
391.524861,143,41.44371
378.163544,141,42.336477
392.511622,145,43.36239
405.883986,144,44.390376
396.461629,143,45.407755
398.656309,140,46.35262
395.016302,144,47.416493
411.287271,146,48.990736
393.000077,139,49.902621
366.510175,134,50.883447
403.589685,142,51.869316
418.993706,146,52.956216
408.457902,144,53.95206
411.157094,145,54.958144
398.085341,142,55.906973
397.684257,142,56.846093
413.609962,144,58.355864
415.784476,147,59.333884
425.624593,149,60.256823
430.494082,149,61.287566
459.548913,157,62.311027
438.634193,151,63.299828
647.668051,207,65.011511
522.740611,176,66.087956
507.245346,174,67.672727
653.074032,211,68.960703
662.440502,211,70.770799
