#{"t_start": 1583618750.426732, "env_id": "Hopper-v2"}
r,l,t
18.721555,30,0.971639
47.658357,37,1.086918
12.645469,15,1.135891
9.661003,11,1.178944
16.704782,22,1.252424
15.4588,30,2.203776
19.500844,17,2.26533
21.399791,37,2.383609
171.062083,109,3.356718
73.117215,53,3.524298
50.563987,31,4.267821
18.635832,24,4.339128
70.114316,51,4.482166
10.572346,16,4.524871
85.880224,59,5.363561
225.269199,104,6.291414
16.298618,18,6.337367
80.644192,47,6.474097
98.256555,56,6.612121
195.579465,87,7.460374
208.394998,94,8.335626
54.779499,32,8.428722
194.795961,87,9.339016
196.366073,88,10.179837
197.959806,86,10.400392
195.1114,94,11.303674
183.807359,84,12.187908
197.887115,96,12.466301
199.032639,89,13.253462
199.923678,90,14.141906
71.387953,41,14.248276
199.886882,90,15.140929
192.981203,88,15.381009
204.199911,91,16.168044
217.827019,95,17.138547
201.295932,89,18.034264
213.024454,94,18.238217
217.95334,96,19.020821
213.706935,96,19.816112
236.650038,101,20.595081
264.894992,117,21.58713
273.087801,114,21.895423
267.06021,119,22.798351
201.865128,95,23.564995
254.146263,116,24.539334
290.075834,120,25.438428
319.384815,126,26.256907
284.447975,120,27.108057
309.118437,129,28.031063
292.283241,124,28.980631
312.94277,126,30.022877
335.992897,131,30.987813
328.406603,131,31.942951
313.935546,120,32.910367
356.826009,135,33.84583
355.277914,136,34.705799
335.134453,134,35.669723
345.667603,134,36.567241
359.36717,137,37.496918
342.748765,133,38.513399
381.178575,143,39.514377
356.068774,139,40.591392
362.187957,135,41.589945
371.408013,139,42.414847
399.806011,143,44.005054
396.088862,143,45.022525
384.343947,141,46.044118
384.738793,140,46.969383
403.659024,143,48.044558
390.194435,141,49.009418
410.340058,146,49.975439
409.053928,144,50.9556
413.003144,144,52.536003
413.812066,146,53.615214
406.780001,142,54.626863
415.532444,146,55.630279
398.586408,142,56.579173
414.120643,147,57.537359
413.141387,144,58.445882
415.361126,147,59.459851
405.894309,144,60.920678
425.41358,147,61.953021
414.465385,147,62.963576
570.326391,187,64.015762
435.701906,151,65.044316
540.288479,180,66.653616
505.419612,166,67.694895
618.539098,200,69.48515
560.384277,189,70.681813
651.785625,209,72.492821
642.397398,207,73.704986
624.975717,208,75.415839
584.57013,195,77.136766
671.596958,214,78.314363
693.315752,220,80.138697
667.323426,213,81.828813
747.956221,233,83.675783
859.519453,272,85.565427
860.390009,275,87.37062
941.411153,298,89.222951
828.964459,281,91.322763
866.750701,290,93.700239
943.124168,315,95.600502
914.227571,299,97.459303
971.103323,318,99.945254
951.655536,309,101.899293
1105.063134,340,104.618371
1241.125945,390,107.308165
1058.391254,337,109.882864
1148.539409,362,111.872497
1376.992943,429,115.198528
1443.639272,448,118.012425
1609.807028,487,121.386236
1473.427269,454,125.053848
1162.11026,372,127.869461
1437.245541,455,130.653939
1093.37787,346,133.298932
1488.292695,450,136.205824
3056.675973,1000,143.345157
3068.332271,1000,150.401372
3181.546366,1000,157.427895
1903.737786,580,161.299082
2086.575065,649,165.972811
2320.608758,726,171.345104
1669.045796,508,175.160678
1838.171941,567,179.08303
2629.187945,780,185.065384
1662.05733,517,188.780324
2414.325698,726,193.707259
2480.913339,749,199.072694
1717.523037,524,202.718615
2283.409391,670,207.34667
1955.147751,594,211.810191
2361.568717,695,216.632004
1735.36876,509,220.436151
1186.563221,362,223.036705
1264.465579,382,225.723743
1373.418029,411,228.564143
1932.04214,564,233.088841
3354.315969,990,240.22301
3311.763335,1000,246.864584
1479.781608,447,250.359971
1680.513922,495,254.014306
1744.742898,515,257.522403
2081.549436,605,261.97906
2260.690714,667,266.499603
2508.226458,724,271.434648
3412.156568,1000,278.771789
2394.182374,684,283.98453
1315.885217,388,287.200941
1059.687863,316,289.603495
1551.521062,461,293.533209
1326.268791,395,296.260218
1430.291569,422,299.397388
1463.74945,437,302.369488
1225.546858,361,305.432274
1485.819077,439,309.301493
1875.083799,533,313.341814
2401.708149,731,319.604129
3351.829478,1000,326.962821
3391.078894,1000,334.906804
1620.436449,467,339.044769
2079.737603,586,343.294292
3371.615097,1000,350.649568
3367.001265,1000,358.042927
3359.462556,1000,366.164687
3273.992227,1000,373.884278
3279.671924,1000,381.327864
3249.833545,1000,389.216828
1656.07757,481,392.896277
3213.645186,1000,400.468794
3032.896427,901,406.923354
1198.411657,365,409.766392
1067.400287,318,411.958839
923.274876,281,414.148646
3348.196268,1000,421.987876
1603.542911,481,426.155498
3283.778095,1000,434.058787
3245.872373,1000,442.258517
2251.873812,667,447.091758
2010.264566,607,451.792706
2575.788075,779,457.654199
1223.56,372,460.633594
1066.408982,322,462.841142
1808.81044,535,466.618462
1142.415374,344,469.425308
1522.982317,450,472.447355
1747.49501,519,476.93981
1755.473919,520,481.051154
2100.059418,621,485.336774
3347.937984,1000,493.083903
3363.759035,1000,500.791388
3302.779194,1000,508.651448
3389.811224,1000,516.664671
2304.963222,678,521.295898
1811.241728,537,525.251318
3340.891425,1000,533.212881
3304.394654,1000,541.223768
3164.123313,946,548.097905
2159.57476,643,552.984982
3354.341947,1000,560.817555
2065.137443,615,565.531775
1509.10839,451,568.574961
2858.916185,844,575.263922
1437.749389,430,578.419888
1786.465521,532,582.290249
1800.633421,536,586.71025
1426.231548,432,589.776235
1025.948882,311,591.596666
1018.655072,310,594.332246
1191.313006,364,597.395028
1642.16133,485,601.159002
3214.349018,929,608.244933
1864.082502,557,612.12895
3380.074372,1000,620.035594
3373.785416,1000,627.937287
659.195468,204,629.14957
1855.172284,549,634.219356
3385.048875,1000,641.889144
3429.092548,1000,649.841006
3388.02404,1000,657.490211
3445.793349,1000,665.444421
3380.436741,1000,673.362035
948.596992,309,675.655407
2578.652005,730,681.721176
2228.741062,674,686.597981
3382.780709,1000,693.165599
3210.323489,921,699.221452
3319.178205,1000,706.953063
3318.262344,1000,714.39404
3314.785993,1000,722.567671
974.152091,316,724.532629
3245.01541,1000,732.297995
3300.11778,1000,740.05597
3296.039739,1000,747.238802
3365.909535,1000,755.044394
3279.361642,1000,762.707311
2207.572095,689,767.796442
3367.705332,1000,775.347475
3427.365479,995,783.033509
2052.079162,641,788.135545
1242.119221,393,791.417663
2036.078011,622,796.27137
3288.838379,1000,804.137986
1874.290194,599,808.664708
3290.39373,1000,816.303235
2200.534496,682,821.568587
3291.949754,1000,828.35356
2210.364509,689,833.598915
1066.042392,327,835.591222
3335.779615,1000,842.453357
3265.691465,1000,849.793052
3389.693285,1000,856.837128
3346.524509,1000,863.853812
1626.808033,514,867.52999
1702.171877,524,871.107733
3329.780153,1000,878.223628
3294.601483,1000,884.811986
3374.365658,1000,891.765922
3364.306109,1000,898.66992
3396.42962,1000,905.673954
3412.451693,1000,912.810994
3365.259658,1000,919.339101
3326.697928,1000,926.577287
2461.262501,732,932.477129
3344.150907,1000,934.909922
3374.756622,1000,937.58709
3357.535633,1000,940.491883
3378.872164,1000,942.965011
1692.904771,517,944.122708
2688.761627,797,946.015449
3357.719228,1000,948.475569
3318.019454,1000,950.982647
